# The state each PR was in when it was reviewed.
#
# `./bench followup` diffs this against GitHub and reports what moved: a new
# push by the author, a maintainer comment, a merge, a close. Without a recorded
# head SHA there is no way to answer "has this changed since I looked", which is
# the question a second visit actually asks.
#
# Update a row only when you have re-read the PR at its new head. Rewriting it
# to silence `followup` throws away the thing being tracked.
#
# verdict   take | changes | blocked | stale-approval | routine | none
#             take            no objection
#             changes         needs work before merge
#             blocked         would break users; do not merge as-is
#             stale-approval  approved, then the branch grew
#             routine         bot or maintainer work, no review needed
#             none            not reviewed
# posted    yes | no      has the comment in the review file been posted upstream
#
# pr	verdict	reviewed	head_at_review	author	posted	note
4246	changes	2026-08-08	30add8ea42f179ac2f5f2cd1a6b86f0cfc5f3aa4	arimu1	no	write() early-return swallows AppenderLoggingException
4245	take	2026-08-08	49a62de92aed3214669d000d5798e63bcc696bf0	arimu1	no	correct; empty-record semantics is a maintainer call
4240	routine	2026-08-08	044732df2951b35a1fb11e2c5cbbc379cb9be885	vpelikh	no	2.x->main port, established author
4239	take	2026-08-08	da23031b4e448ea5e262023114da5e499700956e	kalayciburak	no	javadoc only; ask for a javadoc build
4235	take	2026-08-08	a8180a7c3b521eea7e3a08d4b456ffc73e22aa87	jmestwa-coder	no	injection reproduced on all four releases
4234	blocked	2026-08-08	29cccdfa2032dae1126ff00ccc5e6b169d66f316	katstack	no	compressionLevel=0 throws inside the rollover
4232	routine	2026-08-08	dea053f8a951f3ee1f1150c9dc5c4e76a06c31dc	dependabot	no	version bumps; watch if 4234 lands
4230	routine	2026-08-08	8034e302c531b4325d915f3989797c128d5137c6	vpelikh	no	6622-line docs revamp; check xrefs render
4229	changes	2026-08-08	21c00ae5c867d8537e50daaabe20fab9c816be68	jmestwa-coder	no	hardening not a vuln; reframe the changelog
4228	changes	2026-08-08	a97cd007732ad646e24761bb14d6e353bcacf398	DragonFSKY	no	default stays NOTE, so it does not fix 4225
4227	take	2026-08-09	6da4b6c4a9e2aa19fba91a17fdbbc64424aa506d	tupelo-schneck	no	sound; needs a compatibility decision
4226	take	2026-08-09	91f85de82ea0e124a3f2addf4b7b6b34edbccc2b	tupelo-schneck	no	measured 2.996s + 2.756s vs 0.000118s control
4224	take	2026-08-09	b39499e695b8ab8b7680e3fe5c607cee79a45a07	Hashim1999164	no	you already reviewed and pushed to the branch
4220	changes	2026-08-09	ffc5f857285b397416ce98efb8c0e273dad28e2a	SebTardif	no	vy preferred the other approach on 3816
4218	changes	2026-08-09	438730c9f83bd41d63b2890a00669f02a6dee0d0	SebTardif	no	fix verified; FD-count test will flake
4217	take	2026-08-09	3aeb5bded02e337e07b14baa84b04e378b60800f	SebTardif	no	docs; confirm xrefs render
4185	stale-approval	2026-08-09	34b6142b339ff372801856ccaf1e1cb5eac08129	SebTardif	no	approved, then 4219 setLayout folded in
